B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.0442,0.071,0.0862,0.2842,0.1375,0.0562,0.73081607,-0.34787765,-0.31894484,-0.51348376,1,train
0.0462,0.0748,0.0867,0.2967,0.1375,0.0566,0.73053366,-0.3666513,-0.2953368,-0.497006,1,train
0.0429,0.0671,0.0833,0.2628,0.1449,0.0596,0.7193327,-0.28918326,-0.3669811,-0.543131,1,train
0.0443,0.0703,0.0845,0.2899,0.1562,0.0662,0.73488927,-0.29970858,-0.37924948,-0.55810475,1,train
0.0497,0.0751,0.0862,0.3403,0.1872,0.0768,0.7451282,-0.29023698,-0.42737323,-0.5804137,1,train
0.0498,0.08,0.0886,0.4339,0.2072,0.089,0.79408723,-0.35361096,-0.44289696,-0.6124514,1,train
0.0476,0.072,0.0889,0.2923,0.1387,0.0552,0.7199176,-0.35638052,-0.31656384,-0.4889962,1,train
0.0459,0.069,0.0872,0.2813,0.1387,0.0552,0.71943766,-0.33952385,-0.33558014,-0.50270855,1,train
0.042,0.0669,0.0842,0.2453,0.1375,0.0566,0.7076227,-0.28160918,-0.3454012,-0.53203344,1,train
0.042,0.0661,0.0842,0.2428,0.1375,0.0566,0.7050562,-0.27688664,-0.35068762,-0.53203344,1,train
0.0458,0.0709,0.0861,0.2777,0.1449,0.0596,0.716847,-0.31424516,-0.34291008,-0.51966435,1,train
0.0493,0.0716,0.0865,0.2926,0.1562,0.0662,0.71161157,-0.30392155,-0.37137842,-0.52019465,1,train
0.0521,0.0773,0.0894,0.3474,0.1872,0.0768,0.73917395,-0.29966334,-0.41550094,-0.56456333,1,train
0.0533,0.0827,0.0924,0.4642,0.2072,0.089,0.7940096,-0.38278222,-0.42945844,-0.59078693,1,train
0.0386,0.0585,0.0799,0.1948,0.1193,0.0498,0.6692374,-0.24036932,-0.34195727,-0.51108295,1,train
0.0418,0.0653,0.0825,0.2239,0.1293,0.0532,0.6853594,-0.26783693,-0.32887974,-0.5113968,1,train
0.0418,0.0653,0.0825,0.2275,0.1293,0.0532,0.68956554,-0.27522424,-0.32887974,-0.5113968,1,train
0.0431,0.068,0.0832,0.2334,0.1503,0.0641,0.68824595,-0.21657547,-0.3770041,-0.5542916,1,train
0.0458,0.0707,0.0858,0.2573,0.1503,0.0641,0.6977895,-0.26251227,-0.360181,-0.5328914,1,train
0.0472,0.0727,0.0893,0.3056,0.1665,0.0735,0.7324263,-0.29464093,-0.39214048,-0.55825925,1,train
0.051,0.0712,0.0873,0.2688,0.1782,0.0799,0.68105066,-0.20268454,-0.4290297,-0.55497384,1,train
0.0528,0.0809,0.0932,0.3608,0.1978,0.0855,0.7446808,-0.29180095,-0.41944742,-0.5786113,1,train
0.0526,0.0816,0.0921,0.4718,0.2065,0.0874,0.7993898,-0.39112487,-0.43353,-0.5939791,1,train
0.055,0.0859,0.0915,0.4517,0.2088,0.0874,0.78290904,-0.3677517,-0.41703427,-0.58301747,1,train
0.0382,0.0596,0.0809,0.198,0.1203,0.0481,0.6765453,-0.24410932,-0.33740968,-0.5179811,1,train
0.0396,0.063,0.0806,0.1972,0.1193,0.0498,0.6655405,-0.24612954,-0.3088316,-0.5015733,1,train
0.0448,0.0686,0.0852,0.2628,0.1293,0.0532,0.70871264,-0.3404744,-0.30672055,-0.48535326,1,train
0.0463,0.0686,0.0853,0.2748,0.1293,0.0532,0.71161634,-0.3600594,-0.30672055,-0.47266513,1,train
0.0476,0.0706,0.0872,0.3038,0.1503,0.0641,0.72908366,-0.33803126,-0.36079672,-0.518949,1,train
0.05,0.0732,0.0893,0.3146,0.1503,0.0641,0.72572684,-0.35340932,-0.3449664,-0.5007489,1,train
0.0554,0.0803,0.0931,0.3648,0.1665,0.0735,0.736316,-0.37323546,-0.34927064,-0.500676,1,train
0.0561,0.0789,0.0919,0.3625,0.1782,0.0799,0.7319637,-0.34085444,-0.38623103,-0.52112675,1,train
0.0548,0.084,0.0914,0.4233,0.1978,0.0855,0.7707592,-0.36306554,-0.4038325,-0.5661124,1,train
0.0533,0.0826,0.0914,0.4346,0.2065,0.0874,0.7815126,-0.35579473,-0.42857143,-0.58968437,1,train
0.0489,0.0795,0.0887,0.4005,0.2088,0.0874,0.7823765,-0.31462333,-0.4484912,-0.62048894,1,train
0.0422,0.067,0.0838,0.2829,0.1603,0.0678,0.74038756,-0.27662456,-0.41047072,-0.5832099,1,train
0.0448,0.0701,0.0862,0.2714,0.1599,0.0662,0.71663505,-0.25852078,-0.39043474,-0.56228626,1,train
0.0459,0.0695,0.0853,0.2857,0.1617,0.0699,0.72316045,-0.27715692,-0.39878893,-0.55780345,1,train
0.0459,0.0708,0.0853,0.2971,0.1643,0.0748,0.73236156,-0.2878197,-0.3977031,-0.5632731,1,train
0.0456,0.0726,0.0852,0.3434,0.1643,0.0748,0.7655527,-0.3527674,-0.38708314,-0.56550735,1,train
0.0454,0.0721,0.0864,0.3516,0.1742,0.083,0.77128464,-0.33739063,-0.41453514,-0.5865209,1,train
0.0475,0.0679,0.0874,0.2964,0.1742,0.083,0.7237569,-0.25966853,-0.43907475,-0.571493,1,train
0.0536,0.078,0.0928,0.3351,0.1806,0.083,0.7242089,-0.29959276,-0.39675173,-0.54227155,1,train
